id,title,category,price,rating,user_id,remaining_interaction_string,query,classification,preferences,new_query,target_count,targets
B01KM6F10U,The Education Of A Wandering Man,Folk,13.64,4.7,AFEFWJAUA3NRWFNYQVEWJ3FD3QGA,B00914ETTE|B00SWBLS3C|B014HDTUPG|B00JJNM04S|B00H312VUQ|B005OUE53Y,Can you recommend a tune for a community gathering that focuses on storytelling and cultural exploration?,0,"The user shows a unique preference for contemporary and modern interpretations of traditional music genres, as indicated by their interest in 'Today's Country'.",Can you recommend a tune for a community gathering that focuses on storytelling?,1.0,community gathering that focuses on storytelling
B0000006FH,Grand Piano,Bebop | Jazz,28.89,4.4,AFQKEAVD6TKXWT52WLKLND7KFFEQ,B000001UPD|B000001A5P|B000001GLD|B0000057L1,Can you recommend a piano piece that encourages intellectual engagement for a cultural exploration evening?,3,"The user has a unique preference for music that includes concertos and oldies, indicating a taste for both sophisticated and nostalgic musical styles.",Can you recommend a piano piece that encourages some intellectual engagement for a cultural exploration evening? I'm not sure about the specific listening scene.,-1.0,
B09KNGJ9X6,The 7th Hand,Blue Note Records,11.98,4.4,AFM2OGLLSTJUPEV7BUKQQT2OEAYA,B08BR84FZF|B086PRKZQS|B071R9F76K|B00MS02FD0,What's a good Blue Note Records jazz album with innovative compositions and exceptional instrumental performances for an adult jazz enthusiast?,-1,"The user has a particular interest in live jazz performances and possibly enjoys exploring themes of identity and change, as suggested by the titles and keywords associated with their recent purchases.",Blue Note Records jazz album with innovative compositions and exceptional instrumental performances.,2.0,innovative compositions|exceptional instrumental performances
B0000D9WWR,Most Relaxing Cello Album in World Ever / Various,Classical | Forms & Genres | Concertos,8.08,4.4,AFNLLFAUIS3CY4T5UJYOCHSP3BDA,B0000AM6L0|B002EYB6DK|B00000E9X4|B0000000JS|B0001WU1QK,I'm looking for a music collection that provides a soothing atmosphere for meditation and reflection.,1,"The user has a unique preference for vocal music that includes Motets and Opera & Classical Vocal, as well as a notable interest in Bluegrass and Country genres.",I'm looking for a music collection that provides a soothing atmosphere for meditation. Please recommend me some different styles of music.,-1.0,
B00G9C28SK,Thrive,Pop & Contemporary | Christian & Gospel,11.13,4.8,AFQBXBL2OCIDMQEJQKBI2DRSABIA,B001CITRSU|B002KREVCY|B000001EFA|B00144VBBS,I’m looking for something that’s a tune and also works for a festive gathering with friends.,3,The user has a unique preference for holiday-themed country music collections and possibly enjoys seasonal music deals.,I’m looking for a tune for a festive gathering with friends. I'm not sure about the specific listening scene.,-1.0,
B0B3233KQV,"The Sick, The Dying. And The Dead!",Rock,9.99,4.7,AEACRTKOH55TQOARKCYRZ7K7VNNQ,B08DVTDXXM|B00O8UI7I0|B079NBPNXP|B078SKX6ZV|B000001ELH|B00UWITUHY|B011YDEJ0I|B00XDCBA42|B004DL5K2K|B000002KZ1|B01G2OMYKG|B0161ZKIIQ|B0108CURM0|B00T3YBRCY|B004NA3M9O|B000005RY7|B0009RQSJ6|B018RLBAFM,"I'm looking for the rock music album ""The Sick, The Dying. And The Dead!"" as I'm really into rock and metal music.",-1,"The user has a unique preference for live albums and remastered editions, indicating an appreciation for high-quality and possibly nostalgic music experiences.","I'm looking for the rock music album ""The Sick, The Dying. And The Dead!""",1.0,rock music album
B08BDXM37D,The Phantom Blue Note Tone Poet Series,Blue Note Records,39.99,4.7,AEZQOLREN3OHJ6LWPJ3KSY6RUTGQ,B081WRYKG9|B081KN6XY8|B07T4RYP2V|B07X2M12YR|B07NN3FJ3Z|B07TMRRFVK|B07VFQLNMK,"I want to find a Blue Note Records' Phantom Blue Note Tone Poet Series album, as I'm an adult jazz enthusiast with a preference for classic and influential jazz from this label.",-1,"The user shows a unique preference for Soul-Jazz & Boogaloo and European Jazz styles, as well as albums from the Verve label.",Blue Note Records' Phantom Blue Note Tone Poet Series album.,1.0,Blue Note Records' Phantom Blue Note Tone Poet Series album
B075G4K24L,Rest,Pop,11.98,4.7,AGJ24JRBHVOAKHB7XSPR5SZH5T4Q,B0197GJHX8|B00H7MW2SM|B00IPXO6BS|B00KW85PS2,Could you guide me to a catchy tune that's perfect for a dance party with friends?,0,"The user has a unique preference for music that combines elements of indie and lo-fi styles, suggesting a taste for innovative and non-mainstream sounds.",Could you guide me to a catchy tune that's perfect for a dance party?,1.0,catchy tune that's perfect for a dance party
B000I6B9CY,Luna Roja,Contemporary Folk | Folk,12.49,4.0,AG72WMCIMM4RPQSMSCM6X3RLAIGQ,B000007O8M|B000003QD0|B000053U8Z|B00000DOQV|B000KJTGNI|B0087W2HP4,I'm looking for music that would be perfect for a cozy evening of storytelling with friends.,1,"The user shows a unique preference for music that blends traditional American sounds with modern alternative influences, as indicated by their interest in Americana and American Alternative genres.",I'm looking for music that would be perfect for a cozy evening of storytelling with friends. Please recommend me some different styles of music.,-1.0,
B07GW3QSPH,Experiment,Country,11.98,4.8,AE7INSGGAWHOJSDUFS7UY2CLGZTQ,B07NHQTWQN|B01LZRJYZH|B06XR8KLFF|B076FJT3PN,Could you suggest a track that fits my need for a lively backyard barbecue atmosphere?,0,The user has a strong preference for contemporary country music and vocal pop.,Could you suggest a track that fits my need for a lively backyard barbecue atmosphere?,1.0,lively backyard barbecue atmosphere
B07C5K53Y3,?       Explicit Lyrics,Rap & Hip-Hop,7.85,4.7,AH4SOTLGQUFVH44I6KVFCFDX32KQ,B00POE9JV8|B00NH7JDX8|B0000008L0|B00005Y7NR,Can you recommend a track that captures the essence of urban storytelling for a young adult exploring cultural identity?,0,"The user shows a unique preference for Experimental Rap and Disco, indicating a taste for innovative and retro music styles.",Can you recommend a track that captures the essence of urban storytelling for a young adult exploring cultural identity?,2.0,urban storytelling|cultural identity
B000006T18,Forever Blue,Euro Pop | Pop,27.06,4.3,AGRDIQA3NCOG67UDQ6AJWZFUB7QQ,B000096FLD|B00004WH6X|B0000058P3|B000002D3A|B00005066E|B00006IX86|B00000DFT0|B000002VSB|B000001YXX|B00007FF0I|B000084TUE|B00005OLYC|B00006AO1H|B000068QDD|B00004TWGK|B00004W3WK|B00004T0UV|B000063E1I|B000002WVB|B00005J7C4,I'm looking for a lively track to play at a nostalgic-themed party.,3,"The user shows a unique preference for Eurodance and remastered tracks, indicating a taste for both nostalgic and high-energy music experiences.",I'm looking for a lively track to play at a party. I'm not sure about the specific listening scene.,-1.0,
B000687M48,Anywhere But Home       Explicit Lyrics,Alternative General | Today's Deals in Music | Alternative Rock | CDs $7 - $10,14.99,4.6,AEULXJA7TCOWXKZY4GFVJNE7X6QQ,B00KIFEVA2|B00KBLW7GS|B001SGEUNI|B00BGV0Y26|B00S5OZKDA|B00DQAM5LI|B00DOQK3EA|B004M8M6LM|B000AYEJ0S|B00EUGYM04,I'm looking for something that's a rebellious and emotionally intense music option that fits a budget-friendly collection.,2,"The user has a unique preference for explicit lyrics in their music selections, indicating a preference for unfiltered and raw content.",I'm looking for a rebellious and emotionally intense music option that fits a budget-friendly collection. I’d love to find something that works for casual listening and also serves as a great gift option.,2.0,rebellious and emotionally intense music option|budget-friendly collection
B000001KT7,The Sensational Nightingales - Greatest Hits,Gospel | Contemporary | Christian & Gospel,11.99,4.7,AGM634W23QSLTAKNLSVU2MPG7WEQ,B000929AVE|B00O0MBHR4|B00005R8DV|B001HBIOZY,I'm interested in music that can help me feel a deep spiritual connection during a quiet evening at home.,1,"The user has a unique preference for music that blends classic R&B with holiday themes, particularly enjoying collections that feature iconic artists like Aretha Franklin and The Temptations.",I'm interested in music that can help me feel a deep spiritual connection during a quiet evening at home. Please recommend me some different styles of music.,-1.0,
B08KTDFRF4,"Eyes Wide Open Random Cover incl. 88pg Photobook, Message Card,Lyric Folded Poster, DIY Sticker + 5pc Photocard",AutoRip,29.99,4.8,AFA2CO6THBPYUQ2ASZYHKIP6OUKQ,B08GFVL8Y7|B0079ERDF0|B078MFHT65|B003VJP2LE|B001H5HWS0|B004Q2LDWW|B002LF3DYW|B003EA5DPA,I'm searching for a music album that expands my K-Pop collection and is perfect for a cozy night in.,0,"The user has a unique preference for Korean Pop music, as indicated by the frequent purchase and liking of albums from this genre.",I'm searching for a music album that expands my K-Pop collection.,1.0,music album
B000I2JTHU,There Be Squabbles Ahead,Rock | Progressive Rock | Progressive,3.53,4.8,AHSWAO7T5DBIRK73SYTWRQM4DRJQ,B00BMTX370|B00NSOPA46|B000026L6U|B00IAR2DDW|B00HI7SCT4|B000QV4YUK|B00004YLH6|B004EBT9B2|B00BQI4AU6,What's a good progressive rock album with rock and progressive elements for someone deeply into the rock genre?,-1,"The user has a unique preference for Southern Rock and Album-Oriented Rock (AOR), indicating a taste for more niche sub-genres within the broader rock category.",What's a good progressive rock album with rock and progressive elements?,2.0,progressive rock album with rock elements|progressive rock album with progressive elements
B0000073CC,Cliff Richard: Private Collection 1979-1988,International Music | Europe | Britain & Ireland | Britain,8.63,4.7,AFJHYBRQXLQ3SBSA74KVJSKIWADA,B00PTJGN12|B07B16NSYG|B0018LMZO4|B000002KAI|B004GE81CK|B00000IMTH|B002XTBE92,Can you recommend me a music collection for a cultural exchange event that highlights British heritage and European influences?,1,"The user has a unique preference for Baroque Pop and Folk music, indicating a taste for intricate musical compositions and storytelling through music.",Can you recommend me a music collection for a cultural exchange event that highlights British heritage? Please recommend me some different styles of music.,-1.0,
B000002OX7,Who's Next,Classic Rock | Album-Oriented Rock (AOR),5.0,4.8,AHRI3ZMMB3C6LJWAST3PALASV7EA,B000002O2B|B000002GYZ|B000001E1I|B000002GFU|B00000J2PH|B000002GVZ|B000002KHY|B000002LGQ|B000002UB3|B00000K4ES|B00002JXF8|B000002N3J|B000002QUF|B000002G8S|B000002LND|B00000DCHC|B000002MMQ|B000002NJS|B000002LOE|B000002MG1|B000003TAP|B000002HHB|B000002G62|B00000J7SM|B00002Z883|B000000OVA|B000008USI|B00002MZ2G|B000002IZC|B00003L4DJ|B00000JO1Z,"Can you suggest a classic rock album with an album-oriented rock focus for someone in their 40s who loves 70s, 80s, and 90s rock and pop music?",-1,"The user shows a particular interest in live music recordings and greatest hits collections, suggesting a preference for well-curated and high-quality music experiences.","Suggest a classic rock album with an album-oriented rock focus from the 70s, 80s, or 90s.",2.0,classic rock album|album-oriented rock focus
B000002ALT,The Kansas,Progressive Rock | Rock | Progressive,17.3,4.5,AEHLGVJAXWFMSPY34UOQJNGEB4QQ,B000007492|B000007491|B00HEVRO98|B0055AGMHK|B0008MGGG2|B00OQY7YWS|B001NE81EO|B00004Z3WP,Could you recommend a track that features intricate storytelling and would be perfect for a thought-provoking evening?,1,"The user has a unique preference for niche and possibly vintage music albums, as indicated by their interest in specific bands and albums like Supertramp and Anvil Chorus.",Could you recommend a track that features intricate storytelling? Please recommend me some different styles of music.,-1.0,
B004TPJMLA,The Rhythm Of The Saints,Pop,7.98,4.7,AHKFU5RY2HFHAO5QNIOLMFX5NEDA,B00MPVW0QE|B0025X4OYI|B004P1JMYA|B002IPDZBG|B00000429L,"Do you know any good pop music albums with rhythmic and melodic elements similar to ""The Rhythm Of The Saints"" for someone who enjoys pop, country, and international music?",-1,"The user shows a unique preference for classic and international music collections, as well as live concert recordings.","Good pop music albums with rhythmic and melodic elements similar to ""The Rhythm Of The Saints"" for someone who enjoys pop, country, and international music.",3.0,pop music albums|country music|international music
B002HMHRAK,All Time Greatest Hits,New Orleans Jazz | Jazz,7.98,4.7,AEQNJQO7OBYZT3JXXGDJTK53UNDA,B00CTCMCKS|B0000025JP|B0012GMXFG|B000026GTW|B000MRP1WI|B000EHQ8CI|B00004C4MM|B006LL02GE|B000008BTD,Can you help me choose a music collection that captures the lively atmosphere of a French Quarter street performance?,1,"The user has a unique preference for music that includes theatrical, incidental, and program music, as well as concerto grossi.",Can you help me choose a music collection that captures the lively atmosphere of a French Quarter street performance? Please recommend me some different styles of music.,-1.0,
